date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:12	4763/4763	---M-Z	200	added ('OK')	application/javascript	etag:%22e459b4133bfd21:0%22	https://www.allcooper.com/Portals/_default/skins/allcooper/scripts/custom.js	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/_default/skins/allcooper/scripts/custom.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:14	11615/11615	---M-Z	200	added ('OK')	application/javascript	etag:%2235dc651e8bfd21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_Megamenu/Resource/js/dnngo-megamenu.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/DesktopModules/DNNGo_Megamenu/Resource/js/dnngo-megamenu23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:16	2645/2645	---M-Z	200	added ('OK')	application/javascript	etag:%22aefbf4cc3088d21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_GoMenu/Resource/js/accordion.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/DesktopModules/DNNGo_GoMenu/Resource/js/accordion23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:17	201/201	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Nov%202018%2016:45:18%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/POST	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/POST.1e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
22:15:23	173874/173874	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:45:20%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/post.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/post.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:15:24	297/297	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/pin-icn.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/images/pin-icn.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
22:15:26	1105/1105	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/helpI-icn-grey.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/images/helpI-icn-grey.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
22:15:27	1876/1876	---M--	200	added ('OK')	image/png	etag:%22028978197f9d11:0%22	https://www.allcooper.com/images/checkbox.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/images/checkbox.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
22:15:29	2465/2465	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/radiobutton.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/images/radiobutton.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
22:15:30	971/971	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/dnnSpinnerUpArrow.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/images/dnnSpinnerUpArrow.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
