date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:35	209628/209628	---MCZ	200	added ('OK')	application/javascript	etag:%22c4f42fbe8f3d21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/js/jquery.themepunch.revolution.merge.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/js/jquery.themepunch.revolution.merge23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:36	1090/1090	---M-Z	200	added ('OK')	application/javascript	etag:%229f7ae6d85b6d31:0%22	https://www.allcooper.com/DesktopModules/DNNGo_PowerForms/Resource/js/jquery.inputDefault.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_PowerForms/Resource/js/jquery.inputDefault23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:37	842/842	---MC-	200	added ('OK')	text/javascript	date:Wed,%2014%20Nov%202018%2020:28:38%20GMT	https://www.google.com/recaptcha/api.js?onload=onloadformscallback&render=explicit&hl=en-US&cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.google.com/recaptcha/apif392.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:38	8437/8437	---M-Z	200	added ('OK')	application/javascript	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/js/dnncore.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/js/dnncore23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:39	9207/9207	---M-Z	200	added ('OK')	application/javascript	etag:%220fb658097f9d11:0%22	https://www.allcooper.com/Resources/Search/SearchSkinObjectPreview.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Resources/Search/SearchSkinObjectPreview23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:40	952/952	---M-Z	200	added ('OK')	application/javascript	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/js/dnn.servicesframework.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/js/dnn.servicesframework23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:41	6092/6092	---M--	200	added ('OK')	image/png	etag:%22ae59e4c43388d21:0%22	https://www.allcooper.com/Portals/0/Images/logo-3216.png?ver=2017-02-16-100507-517	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/0/Images/logo-32169039.png	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:44	220895/220895	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2020:28:44%20GMT	https://www.allcooper.com/contact/offices.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/contact/offices.html	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:45	184738/184738	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2020:28:45%20GMT	https://www.allcooper.com/contact/existing-customers.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/contact/existing-customers.html	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:46	101513/101513	---M--	200	added ('OK')	image/jpeg	etag:%223e2055e1ad63d31:0%22	https://www.allcooper.com/Portals/0/LayerGallery/uploads/2017/11/22/Enquiry-Form-Banner.jpg	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/0/LayerGallery/uploads/2017/11/22/Enquiry-Form-Banner.jpg	(from https://www.allcooper.com/contact/enquiry-form.aspx)
